ev_index,ev_charge,mode,trsz_x,trsz_y,angspr_x,angspr_y,waist,emitt_x,emitt_y,align_x,align_y,cam4_res_x,cam4_res_y,trsz_x_std,trsz_y_std,angspr_x_std,angspr_y_std,waist_std,emitt_x_std,emitt_y_std,align_x_std,align_y_std,cam4_res_x_std,cam4_res_y_std
628,8.930800437927246,SP,0.09390147954474982,0.11809814387616421,4.157970574649998,3.793162055983386,2.996180954243932,1.6631657088902545,1.9082479414115696,"[74.5396886515225, 73.16647629681452, 135.23378572387907, 169.39384600652028]","[48.52194693625034, 35.49366132744234, 70.06986519459268, 131.7219992911223]",4.909838447697933,4.550979469307262,0.0012997628376236127,0.0008527020108443043,0.04020038266994401,0.04560234785230975,0.02628605583036959,0.020812984449306546,0.019814787069019957,"[0.8708709543539523, 0.5898583587881501, 4.443815179448995, 3.88292960347387]","[0.8884137176518987, 0.5967424911761358, 4.223740745963108, 3.513199301122872]",0.1067669636889172,0.118015037754699
629,9.768400192260742,SP,0.08974616009449583,0.11575370243625603,4.369227561710919,4.066851386274695,2.9925912169594904,1.6703281304703301,2.005306554196523,"[173.76957716077482, 163.74138531792104, 119.65497794081392, 228.76338310710779]","[51.17359363546262, 36.339724526008574, 73.16195550959759, 140.54631619237404]",4.462559459379462,3.9434615987237818,0.0012430378980722624,0.0010024403585712832,0.04847371883864975,0.04980140725819509,0.02650107261120594,0.022701533924102693,0.022283380763021426,"[0.8871883866189921, 0.5860399832413499, 4.721684759772724, 4.405828610675226]","[0.8993374297927554, 0.6143901942320719, 4.426694112548626, 4.043941055390352]",0.14756551475120597,0.16030689856470376
630,8.534000396728516,SP,0.092913300695558,0.11397416207566323,4.109869440212378,3.8941982199713436,2.9829635265172767,1.6266581144098613,1.8906607352407947,"[113.10335338470634, 115.63663031295668, 201.29619152537435, 86.61364003744328]","[33.51596300885444, 24.217931937458452, 127.02335778809648, 121.00791148330848]",4.699053853588721,3.8600695770524265,0.0009410702886587884,0.0009091456908487503,0.042555890089818166,0.047497790437702546,0.026544712503968424,0.017914369905761778,0.02056818586804359,"[0.8688197893454945, 0.6242330405247972, 4.573993902357854, 5.027940026571171]","[0.8923215372761507, 0.5634203650311183, 4.521435730682376, 4.504823606600776]",0.12372230238189325,0.15322963774583148
631,8.4375,SP,0.08524651197101729,0.1082441122103885,4.232133690292535,3.94552807019012,2.94723329875025,1.536768312314218,1.8192933866261016,"[85.18289600549986, 80.31971580702567, 119.15534711253454, 196.85597386666134]","[34.10662078117681, 20.479720695663005, 116.93719805978431, 132.0069088953577]",4.502333883524349,3.7044835952698207,0.001477511009141679,0.000805507577513814,0.04515582529288009,0.0458999671097279,0.026601219471349004,0.023961218842358762,0.019590294774219016,"[0.8546669134907968, 0.6753361294368494, 5.116157457968378, 4.226243981112534]","[0.8754779331776353, 0.5521393239097621, 4.4629428875420265, 3.8129228929415633]",0.13482083672770415,0.15364170562312354
632,8.921500205993652,SP,0.08732613555344286,0.1075239068988187,3.8492738990155666,3.611030970646228,3.0153232287306744,1.4318857933218254,1.6539712623020988,"[85.43621590709225, 85.8064790238315, 163.2613849237993, 167.04837803569657]","[47.208311723052304, 22.788120482614737, 146.22872867504287, 148.20731635752344]",5.097895141749356,4.388329468271152,0.0009425392633672666,0.0007835519212719089,0.04217018957553704,0.041593909123535194,0.02613781426123958,0.01600282428399725,0.016809931648080416,"[0.8162086442867439, 0.49430404302920883, 4.609123429197663, 4.262920994203557]","[0.826811699158622, 0.4932788775517864, 4.522458262843066, 3.808597085993962]",0.10224306872268604,0.1108316173849276
633,8.87909984588623,SP,0.08949661093091044,0.1143408750379195,4.628918009960496,4.394340441642951,2.9487481369525264,1.7647238485798846,2.1403256437127425,"[78.87478540502303, 81.23883947987552, 143.91187589349423, 153.80575405056211]","[34.38069085914448, 20.79511434549027, 122.55341565974709, 136.82035684256653]",3.3505524720204067,2.2448411167828772,0.0011744245818494324,0.0008959485715895748,0.045688328314307025,0.06428343016795202,0.026214488898208314,0.02383458573998662,0.027122549364197588,"[0.9058182523583943, 0.532866859138793, 5.399177682369348, 4.05942013921166]","[0.9954362019891974, 0.558903025384691, 5.191084802254898, 3.724507579044718]",0.19605768404008322,0.3897877365430551
634,9.693499565124512,SP,0.08711837716860422,0.11660754168703684,4.733651672266742,4.44564426843403,3.058509672357757,1.7566442017648156,2.2082702091300157,"[154.56398601076066, 151.41433940875186, 206.61472025792605, 78.61304343650205]","[32.16291432100978, 21.890824418089235, 121.65828299888315, 131.52087324891687]",3.8036840830136898,3.1015235102484042,0.0013989825919479028,0.0009376412608535227,0.048456402654652356,0.05060780695540195,0.025847571903512993,0.02582566740666649,0.02296370938409661,"[0.9271707875678834, 0.56980080382254, 5.064559146390827, 4.027585647051704]","[0.9643681863715124, 0.5625958336652134, 5.144563831401223, 3.6940511246991816]",0.18268379832791007,0.21934783763369015
347,9.742500305175781,SP,0.08590185591532486,0.11149848808086604,4.444151204050623,4.193584109709416,3.0779842923273746,1.626243710176528,1.9918233627720137,"[136.2355062889448, 135.55993266504103, 196.93952894213237, 103.41783488586263]","[79.309418728117, 43.99929914847388, 109.65922774953418, 100.74720966438184]",4.626877825796864,3.7569556679361433,0.0011500965694418162,0.0009139723046019646,0.036426398403631724,0.039633352802467,0.024824186689855872,0.021558349149425702,0.019539449894928198,"[0.8343450696014366, 0.5766757609648279, 4.5270973197753985, 4.185325632590855]","[0.8560638397238389, 0.5676212614208731, 4.5355403289774, 3.803756278603283]",0.11511894844979172,0.14249447011677022
635,8.833600044250488,SP,0.08853617134113907,0.11199765521334923,4.169627618461191,3.951805136423965,3.0015826324729105,1.572440832154904,1.8853190767760475,"[158.8880796393418, 157.57702108650597, 208.47918662032365, 173.15103254460558]","[30.262208639284392, 20.47752453087979, 124.6290846192274, 130.63669614776506]",4.673209119473883,4.02025941694548,0.0013566749956815329,0.000956297698165386,0.05677670625530979,0.0537879536384404,0.02877958578779064,0.0207794413528477,0.020975182816187724,"[0.895149222574491, 0.5520465601727128, 4.774650362169329, 4.337321478310835]","[0.9336495391570205, 0.5410306039380832, 4.609846032581682, 3.9509108955600363]",0.15022213955517388,0.15964867745481395
636,9.257599830627441,SP,0.09192107976565955,0.11475083736694387,4.567329309156802,4.295618102208319,2.9546355049534605,1.7883739206330118,2.099766643061951,"[93.51998870349979, 87.87474765341842, 158.60065940620484, 142.5645603932799]","[47.55363242941229, 33.27298359926678, 72.55812150656348, 149.69703039012478]",4.001818238024235,3.2048470238551925,0.001416635898670336,0.0009679078473068505,0.04582678769324509,0.05142494915879068,0.02626014318972154,0.02566529502251939,0.023189114794715422,"[0.8865184694038557, 0.5924832477319356, 4.706963694208727, 3.9595252847648017]","[0.9426755617541287, 0.5951293971456807, 4.883395533200996, 3.582242945111603]",0.16074492554540876,0.2103141202331555
